url,fid,name,nick,birth_date,height,weight,association,class,locality,country,gender,age,age_at_start,num_fights,career_span_years
/fighter/Colton-Smith-63163,63163,Colton Smith,,1987-08-14,72.0,170.0,Vanguard,Welterweight,"Manassas, Virginia",United States,Male,37,25.338809034907598,4.0,1.5331964407939767
/fighter/Dan-Miller-14464,14464,Dan Miller,,1981-06-30,73.0,185.0,Miller Brothers MMA,Middleweight,"Sparta, New Jersey",United States,Male,43,27.21697467488022,12.0,6.8145106091718
/fighter/Brian-Geraghty-5269,5269,Brian Geraghty,,1980-11-04,67.0,155.0,Freestyle Academy,Lightweight,"Pleasant Prairie, Wisconsin",United States,Male,44,26.63107460643395,1.0,0.0
/fighter/Cung-Le-14883,14883,Cung Le,,1972-05-25,70.0,185.0,Cung Le's Universal Strength Headquarters,Middleweight,"San Jose, California",United States,Male,52,39.48528405201917,4.0,2.759753593429158
/fighter/Tarec-Saffiedine-21912,21912,Tarec Saffiedine,Sponge,1986-09-06,69.0,169.0,Evolve MMA,Welterweight,,Belgium,Male,38,27.329226557152634,6.0,3.4496919917864477
/fighter/Michael-Graves-64989,64989,Michael Graves,,1991-01-08,70.0,170.0,American Top Team,Welterweight,"Coconut Creek, Florida",United States,Male,34,24.50650239561944,2.0,0.7638603696098563
/fighter/Joe-Slick-238,238,Joe Slick,,1977-10-17,72.0,199.0,,Light Heavyweight,"Iowa City, Iowa",USA,Male,47,22.088980150581794,2.0,0.4024640657084189
/fighter/Jake-Shields-502,502,Jake Shields,,1979-01-09,72.0,170.0,Cesar Gracie Fight Team,Welterweight,"San Francisco, California",United States,Male,46,31.786447638603697,7.0,3.3921971252566734
/fighter/Beneil-Dariush-56583,56583,Beneil Dariush,,1989-05-06,70.0,155.0,Kings MMA,Lightweight,"Yorba Linda, California",United States,Male,36,24.695414099931554,22.0,9.878165639972622
/fighter/Steve-Lopez-29129,29129,Steve Lopez,,1984-07-30,71.0,155.0,Syndicate MMA,Lightweight,"South Bend, Indiana",United States,Male,40,25.138945927446954,2.0,1.0157426420260096
/fighter/Vagner-Rocha-43107,43107,Vagner Rocha,Ceara,1982-06-06,71.0,155.0,Team VRMA,Lightweight,Rio de Janeiro,Brazil,Male,42,29.013004791238878,4.0,3.4086242299794662
/fighter/Kuniyoshi-Hironaka-2575,2575,Kuniyoshi Hironaka,,1976-06-17,70.0,153.0,Master Japan,Lightweight,Yamaguchi,Japan,Male,48,30.324435318275153,4.0,1.514031485284052
/fighter/Ashlee-Evans-Smith-75021,75021,Ashlee Evans-Smith,,1987-07-09,68.0,136.0,Reign MMA,Bantamweight,"Lake Forest, California",United States,Female,37,27.411362080766597,18.0,8.605065023956195
/fighter/Robert-Drysdale-67894,67894,Robert Drysdale,,1981-01-01,75.0,205.0,Drysdale Jiu-Jitsu,Light Heavyweight,"Las Vegas, Nevada",United States,Male,44,,,
/fighter/Sean-Soriano-61682,61682,Sean Soriano,,1989-10-06,69.0,145.0,Blackzilians,Featherweight,"Miami, Florida",United States,Male,35,24.246406570841888,5.0,7.876796714579055
/fighter/Frankie-Perez-79784,79784,Frankie Perez,,1989-05-11,71.0,155.0,Ricardo Almeida Jiu-Jitsu,Lightweight,"Howell, New Jersey",United States,Male,36,25.689253935660506,4.0,2.507871321013005
/fighter/Shane-Howell-20906,20906,Shane Howell,,1983-11-28,68.0,125.0,R-1 MMA,Flyweight,"Norman, Oklahoma",United States,Male,41,30.581793292265573,2.0,0.5585215605749486
/fighter/Chris-Wade-79335,79335,Chris Wade,,1987-09-30,69.0,155.0,East Islip Kickboxing,Lightweight,"Long Island, New York",United States,Male,37,26.915811088295687,7.0,2.8939082819986313
/fighter/Bec-Rawlings-84964,84964,Bec Rawlings,Rowdy,1989-02-11,66.0,116.0,Gamebred Combat Club,Strawweight,"Brisbane, Queensland",Australia,Female,36,25.831622176591377,14.0,3.3182751540041067
/fighter/Mike-Massenzio-12852,12852,Mike Massenzio,,1982-11-01,74.0,185.0,Team Bombsquad,Middleweight,"Paterson, New Jersey",United States,Male,42,25.87816563997262,7.0,3.6303901437371664
/fighter/Islam-Makhachev-76836,76836,Islam Makhachev,,1991-09-27,70.0,155.0,Fightspirit Team,Lightweight,"Makhachkala, Republic of Dagestan",Russia,Male,33,23.652292950034223,16.0,9.026694045174539
/fighter/Spencer-Fisher-5118,5118,Spencer Fisher,The King,1976-05-09,67.0,155.0,,Lightweight,"Davenport, Iowa",United States,Male,49,29.401779603011637,17.0,6.718685831622176
/fighter/Fabiano-Iha-218,218,Fabiano Iha,,1970-07-28,68.0,155.0,,Lightweight,"Huntington Beach, California",United States,Male,54,28.774811772758383,7.0,2.3956194387405887
/fighter/Andre-Pederneiras-227,227,Andre Pederneiras,Dede,1967-03-22,68.0,160.0,Nova Uniao,Welterweight,,Brazil,Male,58,32.31759069130732,1.0,0.0
/fighter/Dorian-Price-9786,9786,Dorian Price,,1977-08-20,75.0,155.0,Team Jorge Gurgel,Lightweight,"Columbus, Ohio",United States,Male,47,30.299794661190965,1.0,0.0
/fighter/Andre-Winner-17034,17034,Andre Winner,,1981-11-09,71.0,155.0,Team Rough House,Lightweight,"Leicester, Leicestershire",England,Male,43,27.61122518822724,6.0,2.0314852840520192
/fighter/Nate-Mohr-8396,8396,Nate Mohr,,1983-03-03,69.0,155.0,Team Curran,Lightweight,"Cedar Falls, Iowa",United States,Male,42,24.09034907597536,4.0,1.787816563997262
/fighter/Rob-Font-76100,76100,Rob Font,,1987-06-25,68.0,135.0,Team Sityodtong,Bantamweight,"Boston, Massachusetts",United States,Male,37,27.028062970568104,18.0,10.291581108829568
/fighter/Hatsu-Hioki-5466,5466,Hatsu Hioki,,1983-07-18,71.0,145.0,Alive,Featherweight,"Nagoya, Aichi",Japan,Male,41,28.281998631074607,8.0,3.5263518138261465
/fighter/Eddie-Wineland-4173,4173,Eddie Wineland,,1984-06-26,67.0,135.0,Duneland Vale Tudo,Bantamweight,"Portage, Indiana",United States,Male,40,26.72689938398357,16.0,11.249828884325805
/fighter/Takeya-Mizugaki-12074,12074,Takeya Mizugaki,,1983-12-16,67.0,135.0,Hakkei Gym,Bantamweight,"Miura, Kanagawa",Japan,Male,41,27.211498973305954,14.0,5.793292265571527
/fighter/Jutaro-Nakao-438,438,Jutaro Nakao,,1970-11-30,69.0,170.0,Jutaro Nakao MMA School,Welterweight,Osaka,Japan,Male,54,30.82819986310746,2.0,0.4791238877481177
/fighter/Eddie-Alvarez-9265,9265,Eddie Alvarez,,1984-01-11,70.0,155.0,Blackzilians,Lightweight,"Philadelphia, Pennsylvania",United States,Male,41,30.71047227926078,7.0,3.8329911019849416
/fighter/Ben-Rothwell-2262,2262,Ben Rothwell,,1981-10-17,76.0,263.0,Rothwell MMA,Heavyweight,"Kenosha, Wisconsin",United States,Male,43,28.019164955509925,17.0,12.054757015742641
/fighter/Dhiego-Lima-59607,59607,Dhiego Lima,,1989-01-31,74.0,170.0,American Top Team Atlanta,Welterweight,"Goiania, Goias",Brazil,Male,36,25.426420260095824,11.0,6.954140999315538
/fighter/Dave-Herman-19720,19720,Dave Herman,,1984-10-03,76.0,223.0,Team Quest,Heavyweight,"Columbia City, Indiana",United States,Male,40,26.68583162217659,5.0,2.0698151950718686
/fighter/James-Head-23253,23253,James Head,,1984-02-09,74.0,170.0,R-1 MMA,Welterweight,"Oklahoma City, Oklahoma",United States,Male,41,27.3347022587269,5.0,2.21492128678987
/fighter/David-Branch-32431,32431,David Branch,,1981-09-26,73.0,185.0,Renzo Gracie Jiu-Jitsu,Middleweight,"Brooklyn, New York",United States,Male,43,28.76659822039699,9.0,8.739219712525667
/fighter/Drew-Dober-23982,23982,Drew Dober,,1988-10-19,68.0,155.0,MidAmerica Martial Arts,Lightweight,"Omaha, Nebraska",United States,Male,36,25.114305270362767,23.0,10.617385352498289
/fighter/Mitch-Gagnon-37404,37404,Mitch Gagnon,,1984-10-10,66.0,135.0,Troop MMA,Bantamweight,"Sudbury, Ontario",Canada,Male,40,27.7782340862423,16.0,6.784394250513347
/fighter/Wilson-Reis-23401,23401,Wilson Reis,,1985-01-06,64.0,125.0,Brazilian Jiu-Jitsu United,Flyweight,"Januaria, Minas Gerais",Brazil,Male,40,28.706365503080082,13.0,5.557837097878165
/fighter/Vaughan-Lee-6946,6946,Vaughan Lee,,1982-10-15,65.0,135.0,UTC Birmingham,Bantamweight,"Birmingham, West Midlands",England,Male,42,29.05681040383299,8.0,3.698836413415469
/fighter/Todd-Duffee-22903,22903,Todd Duffee,,1985-12-06,75.0,241.0,American Top Team,Heavyweight,"Evansville, Indiana",United States,Male,39,23.72895277207392,5.0,5.87542778918549
/fighter/Besam-Yousef-32445,32445,Besam Yousef,,1985-03-25,71.0,170.0,Gladius MMA,Welterweight,Gothenburg,Sweden,Male,40,27.055441478439427,2.0,0.9774127310061602
/fighter/Brian-Gassaway-886,886,Brian Gassaway,Mandingo,1972-08-07,72.0,171.0,,Welterweight,"Chicago, Illinois",United States,Male,52,33.034907597535934,1.0,0.0
/fighter/Alberto-Crane-4767,4767,Alberto Crane,,1976-07-14,69.0,155.0,Alberto Crane MMA,Lightweight,"Santa Fe, New Mexico",United States,Male,48,31.1129363449692,2.0,0.4134154688569473
/fighter/Anthony-Lapsley-18590,18590,Anthony Lapsley,The Recipe,1980-02-13,69.0,170.0,,Welterweight,"Fort Wayne, Indiana",United States,Male,45,33.75770020533881,2.0,0.4791238877481177
/fighter/Rani-Yahya-10425,10425,Rani Yahya,,1984-12-09,66.0,135.0,Constrictor Team,Bantamweight,"Brasilia, Federal District",Brazil,Male,40,26.119096509240247,19.0,13.262149212867898
/fighter/Bethe-Correia-103069,103069,Bethe Correia,Pitbull,1983-06-22,64.0,135.0,,Bantamweight,"Campina Grande, Paraiba",Brazil,Female,41,30.458590006844627,11.0,7.822039698836414
/fighter/Demian-Maia-14637,14637,Demian Maia,,1977-11-06,72.0,170.0,Demian Maia Jiu-Jitsu,Welterweight,"Santana de Parnaiba, Sao Paulo",Brazil,Male,47,29.95208761122519,32.0,13.645448323066393
/fighter/Sam-Sicilia-53205,53205,Sam Sicilia,,1986-02-01,68.0,145.0,Sikjitsu,Featherweight,"Spokane, Washington",United States,Male,39,26.32991101984942,12.0,4.720054757015743
/fighter/Ryan-Couture-51228,51228,Ryan Couture,,1982-08-27,70.0,156.0,Xtreme Couture,Lightweight,"Las Vegas, Nevada",United States,Male,42,30.60917180013689,2.0,0.4024640657084189
/fighter/Akira-Corassani-22641,22641,Akira Corassani,,1982-08-27,68.0,145.0,Renzo Gracie Jiu-Jitsu,Featherweight,Gothenburg,Sweden,Male,42,30.091718001368925,6.0,2.31895961670089
/fighter/Dylan-Andrews-21803,21803,Dylan Andrews,The Villain,1979-11-15,73.0,185.0,Heartbreak Conditioning,Middleweight,,New Zealand,Male,45,33.40999315537303,5.0,2.0698151950718686
/fighter/Joe-Proctor-46307,46307,Joe Proctor,,1985-08-10,70.0,155.0,Team Aggression,Lightweight,"Pembroke, Massachusetts",United States,Male,39,26.809034907597535,8.0,4.889801505817933
/fighter/Paul-Rodriguez-1332,1332,Paul Rodriguez,,1975-05-18,68.0,155.0,American Top Team Orlando,Lightweight,"Orlando, Florida",United States,Male,49,26.116358658453116,1.0,0.0
/fighter/Christian-Morecraft-34376,34376,Christian Morecraft,,1986-09-08,78.0,261.0,Team Bombsquad,Heavyweight,"Plymouth, Massachusetts",United States,Male,38,23.912388774811774,4.0,1.4537987679671458
/fighter/Viscardi-Andrade-30298,30298,Viscardi Andrade,,1984-03-08,72.0,170.0,Gracie Fusion,Welterweight,"Jales, Sao Paulo",Brazil,Male,41,29.404517453798768,4.0,2.625598904859685
/fighter/Takenori-Sato-12196,12196,Takenori Sato,,1985-06-08,70.0,170.0,Tribe Tokyo MMA,Welterweight,Akita,Japan,Male,39,28.689938398357288,2.0,0.5941136208076659
/fighter/Hernani-Perpetuo-28185,28185,Hernani Perpetuo,,1985-05-24,72.0,170.0,Nova Uniao,Welterweight,"Rio de Janeiro, Rio de Janeiro",Brazil,Male,39,28.903490759753595,2.0,0.2683093771389459
/fighter/George-Sullivan-15148,15148,George Sullivan,,1981-03-13,72.0,169.0,Pellegrino MMA,Welterweight,"Belmar, New Jersey",United States,Male,44,32.87063655030801,7.0,4.5804243668720055
/fighter/Sean-OConnell-33156,33156,Sean O'Connell,The Real OC,1983-09-02,73.0,205.0,,Light Heavyweight,"Salt Lake City, Utah",United States,Male,41,30.62012320328542,14.0,2.650239561943874
/fighter/Kazuki-Tokudome-26192,26192,Kazuki Tokudome,,1987-03-04,71.0,154.0,Paraestra Hachioji,Lightweight,Tokyo,Japan,Male,38,25.9958932238193,4.0,1.5523613963039014
/fighter/Andy-Wang-1331,1331,Andy Wang,,1977-05-28,66.0,155.0,Grappling Unlimited,Lightweight,"Los Angeles, California",United States,Male,47,30.069815195071868,1.0,0.0
/fighter/Jason-Godsey-215,215,Jason Godsey,,1964-01-01,74.0,245.0,Integrated Fighting Academy,Heavyweight,"Indianapolis, Indiana",United States,Male,61,35.17316906228611,2.0,0.5557837097878165
/fighter/Tim-Elliott-49213,49213,Tim Elliott,,1986-12-24,67.0,125.0,Glory MMA and Fitness,Flyweight,"Lee's Summit, Missouri",United States,Male,38,25.363449691991786,20.0,11.594798083504449
