name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,gender
Vinicius Oliveira,Lok Dog,19,3,0,175.26,61.23,177.8,Switch,00:00.0,9.56,49,2.31,61,0.0,0,100,9.56,Male
Bryson Kamaka,,12,20,1,180.34,77.11,,Orthodox,,9.47,60,12.63,0,0.0,0,100,9.47,Male
Tom Nolan,Big Train,6,0,0,190.5,70.31,185.42,Southpaw,00:00.0,9.4,54,1.45,50,0.0,0,0,9.4,Male
Chris Birchler,The Big Buck,7,4,0,190.5,92.99,,Switch,00:00.0,9.35,46,14.83,35,0.0,0,0,9.35,Male
Dean Barry,The Sniper,4,2,0,177.8,77.11,182.88,Orthodox,00:00.0,9.31,40,4.66,51,0.0,0,100,9.31,Male
Joshua Van,The Fearless,9,1,0,165.1,56.7,165.1,Orthodox,00:00.0,9.2,51,5.93,63,1.0,33,87,9.2,Male
Luis Pajuelo,Corazon de Leon,8,1,0,177.8,65.77,175.26,Orthodox,00:00.0,9.15,61,5.11,62,0.0,0,66,9.15,Male
Eli Aronov,The Israeli Tank,6,1,0,177.8,83.91,182.88,Orthodox,00:00.0,8.92,68,6.49,38,12.16,100,0,8.92,Male
Ibo Aslan,The Last Ottoman,12,1,0,190.5,92.99,195.58,Orthodox,00:00.0,8.87,72,3.38,63,0.0,0,0,8.87,Male
Zhang Mingyang,Mountain Tiger,16,6,0,187.96,92.99,190.5,Orthodox,00:00.0,8.86,56,5.57,59,0.0,0,0,8.86,Male
Kenji Arai,,15,15,5,177.8,65.77,,Southpaw,00:00.0,8.79,27,10.29,39,0.0,0,0,8.79,Male
Casey O'Neill,King,9,1,0,167.64,56.7,175.26,Orthodox,00:00.0,8.77,55,5.9,58,1.96,42,71,8.77,Female
Rolando Bedoya,The Machine,14,3,0,180.34,77.11,187.96,Orthodox,00:00.0,8.7,55,6.83,52,0.0,0,0,8.7,Male
