name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,gender
Jesse Ronson,The Body Snatcher,21,12,0,177.8,70.31,177.8,Southpaw,00:00.0,3.54,47,3.39,57,0.46,28,57,3.54,Male
Harry Hunsucker,The Hurricane,7,6,0,187.96,92.99,190.5,Orthodox,00:00.0,3.54,52,6.53,42,0.0,0,0,3.54,Male
Austin Springer,,12,4,0,172.72,65.77,180.34,Orthodox,00:00.0,3.54,57,3.15,41,3.37,40,100,3.54,Male
Serghei Spivac,Polar Bear,16,4,0,190.5,117.93,198.12,Orthodox,00:00.0,3.54,49,3.79,49,4.56,64,70,3.54,Male
Jasmine Jasudavicius,,9,3,0,170.18,56.7,172.72,Orthodox,00:00.0,3.54,40,4.41,51,2.17,37,80,3.54,Female
George Sullivan,The Silencer,17,7,0,182.88,77.11,185.42,Orthodox,00:00.0,3.53,39,2.42,57,1.37,20,38,3.53,Male
Tiffany Masters,Rainbow Renegade,2,1,0,160.02,52.16,165.1,Orthodox,00:00.0,3.53,62,2.58,50,3.06,60,0,3.53,Male
Tebaris Gordon,Boom,3,1,0,185.42,120.2,,Orthodox,00:00.0,3.53,16,49.41,22,0.0,0,0,3.53,Male
Tom Gallicchio,Da Tank,19,10,0,177.8,77.11,,Southpaw,00:00.0,3.53,26,7.07,43,1.0,11,0,3.53,Male
Nick Newell,Notorious,14,2,0,177.8,70.31,,Southpaw,00:00.0,3.53,46,4.07,36,0.0,0,33,3.53,Male
JunYoung Hong,Drunken Red,11,7,1,172.72,65.77,175.26,Orthodox,00:00.0,3.53,39,3.27,54,0.0,0,40,3.53,Male
Brianna Fortino,The Bull,9,3,0,152.4,52.16,157.48,Southpaw,00:00.0,3.53,41,3.23,57,2.5,45,66,3.53,Female
Brock Lesnar,,5,3,0,190.5,120.2,205.74,Orthodox,00:00.0,3.53,72,2.11,50,3.9,55,60,3.53,Male
Jorge Ortiz,The Naked Man,18,9,1,182.88,83.91,,Orthodox,,3.53,58,2.8,73,0.0,0,0,3.53,Male
Lorenz Larkin,The Monsoon,18,6,0,180.34,77.11,182.88,Orthodox,00:00.0,3.53,46,2.74,63,0.27,42,79,3.53,Male
Jessin Ayari,,16,6,0,182.88,70.31,185.42,Orthodox,00:00.0,3.53,37,3.59,58,0.0,0,50,3.53,Male
Brandon Hester,The Beast,3,0,0,185.42,92.99,,,,3.53,53,0.4,68,4.0,80,0,3.53,Male
Yui Chul Nam,The Korean Bulldozer,18,8,1,175.26,65.77,,Orthodox,00:00.0,3.53,51,2.0,48,1.33,16,57,3.53,Male
Gabriel Miranda,Fly,17,6,0,180.34,65.77,180.34,Orthodox,00:00.0,3.52,51,6.88,39,4.8,40,0,3.52,Male
Rafael Dos Anjos,,32,15,0,172.72,77.11,177.8,Southpaw,00:00.0,3.52,47,3.19,60,2.01,35,56,3.52,Male
Shimon Smotritsky,The Assassin,8,2,0,187.96,77.11,187.96,Orthodox,00:00.0,3.52,34,8.67,56,3.52,33,50,3.52,Male
Troy Mandaloniz,Rude Boy,3,2,0,175.26,77.11,,Orthodox,00:00.0,3.52,56,4.71,63,3.1,66,57,3.52,Male
Melvin Manhoef,No Mercy,30,14,1,175.26,83.91,,Orthodox,00:00.0,3.52,48,2.64,51,0.33,25,78,3.52,Male
Daniel Acacio,,30,18,0,172.72,81.65,,Orthodox,00:00.0,3.52,36,2.85,62,0.33,20,81,3.52,Male
Nick Ring,The Promise,14,4,0,182.88,83.91,187.96,Southpaw,00:00.0,3.52,42,3.48,62,1.36,36,52,3.52,Male
Joseph Benavidez,,28,8,0,162.56,56.7,165.1,Southpaw,00:00.0,3.52,34,2.67,61,1.41,30,62,3.52,Male
Artem Lobov,The Russian Hammer,13,15,1,175.26,65.77,165.1,Southpaw,00:00.0,3.52,41,4.82,50,0.39,25,52,3.52,Male
Brad Scott,Bear,11,6,0,185.42,77.11,193.04,Orthodox,00:00.0,3.52,41,4.31,57,0.32,15,63,3.52,Male
Chad Anheliger,The Monster,12,6,0,167.64,61.23,162.56,Orthodox,00:00.0,3.51,43,3.31,55,0.0,0,47,3.51,Male
HyunSung Park,Peace of Mind,8,0,0,170.18,56.7,167.64,Orthodox,00:00.0,3.51,48,2.62,59,2.23,30,100,3.51,Male
Derek Brunson,The One,23,9,0,185.42,83.91,195.58,Southpaw,00:00.0,3.51,47,3.05,51,3.14,33,85,3.51,Male
Qiu Lun,Tibetan Knight,16,9,0,172.72,56.7,167.64,Southpaw,00:00.0,3.51,46,1.78,67,0.67,18,68,3.51,Male
Andy Enz,Tank Mode,10,4,0,190.5,83.91,198.12,Orthodox,00:00.0,3.51,23,5.32,57,0.0,0,58,3.51,Male
Anatoly Tokov,,25,2,0,177.8,83.91,,,,3.51,72,0.54,66,2.03,100,100,3.51,Male
Ben Nguyen,Ten,16,8,0,165.1,56.7,165.1,Switch,00:00.0,3.51,40,3.01,59,0.25,33,63,3.51,Male
Christian Rodriguez,,10,1,0,170.18,61.23,180.34,Orthodox,00:00.0,3.51,46,2.46,58,1.4,54,70,3.51,Male
Mike Easton,The Hulk,13,6,0,167.64,61.23,177.8,Southpaw,00:00.0,3.51,37,4.28,61,0.75,22,66,3.51,Male
Miles Johns,Chapo,14,2,0,170.18,61.23,167.64,Orthodox,00:00.0,3.51,48,2.75,68,1.03,21,85,3.51,Male
Carlton Minus,Clutch,10,3,0,177.8,77.11,190.5,Orthodox,00:00.0,3.5,40,4.97,50,0.0,0,58,3.5,Male
John Doyle,The Iron Bull,11,22,0,180.34,92.99,,Orthodox,00:00.0,3.5,44,10.51,27,0.0,0,0,3.5,Male
Devin Cole,,20,10,1,193.04,108.86,,Orthodox,00:00.0,3.5,55,2.14,48,2.18,42,66,3.5,Male
Rodrigo Damm,,13,9,0,170.18,70.31,180.34,Orthodox,00:00.0,3.5,36,5.61,57,0.44,16,80,3.5,Male
Jiniushiyue,Little King Kong,13,2,0,172.72,56.7,175.26,Southpaw,00:00.0,3.49,39,1.66,67,1.66,66,100,3.49,Male
Aaron Brink,,26,26,0,190.5,92.99,,Orthodox,00:00.0,3.49,42,5.71,57,0.0,0,0,3.49,Male
Bryce Mejia,,3,1,0,185.42,77.11,,,,3.49,62,6.98,50,0.0,0,0,3.49,Male
Ludovit Klein,Mr. Highlight,20,4,1,170.18,70.31,182.88,Southpaw,00:00.0,3.49,54,3.53,53,1.52,45,83,3.49,Male
Tony Fryklund,The Freak,14,9,1,182.88,83.91,,Orthodox,00:00.0,3.49,39,6.5,43,0.0,0,66,3.49,Male
Da Woon Jung,Sseda,15,5,1,193.04,92.99,198.12,Orthodox,00:00.0,3.49,43,3.89,51,1.9,50,77,3.49,Male
Johny Hendricks,Bigg Rigg,18,8,0,175.26,83.91,175.26,Southpaw,00:00.0,3.49,45,3.99,53,3.83,46,63,3.49,Male
Mackenzie Dern,,13,4,0,162.56,52.16,160.02,Orthodox,00:00.0,3.49,40,4.21,51,0.77,14,40,3.49,Female
Alan Omer,,20,5,0,177.8,65.77,,Orthodox,00:00.0,3.49,55,2.21,64,1.69,42,66,3.49,Male
SeungWoo Choi,Sting,11,6,0,182.88,65.77,187.96,Orthodox,00:00.0,3.48,38,3.02,47,0.87,54,69,3.48,Male
Vanessa Melo,,11,8,0,165.1,61.23,165.1,Orthodox,00:00.0,3.48,30,6.13,59,0.0,0,71,3.48,Female
David Dvorak,Undertaker,20,6,0,165.1,56.7,172.72,Orthodox,00:00.0,3.48,43,3.29,59,0.58,30,70,3.48,Male
Melissa Dixon,No Mess,6,0,0,170.18,61.23,172.72,Orthodox,00:00.0,3.47,54,3.2,55,0.0,0,75,3.47,Male
Nikolay Veretennikov,,9,4,0,185.42,77.11,187.96,Orthodox,00:00.0,3.47,65,3.53,56,0.0,0,50,3.47,Male
Vaughan Lee,,14,13,1,167.64,56.7,167.64,Orthodox,00:00.0,3.47,47,2.07,70,0.81,33,72,3.47,Male
Jimy Hettes,The Kid,11,3,0,175.26,65.77,180.34,Southpaw,00:00.0,3.47,57,3.5,57,5.2,44,61,3.47,Male
Yasuhiro Urushitani,,21,8,6,165.1,56.7,,Southpaw,00:00.0,3.47,39,4.71,65,0.0,0,80,3.47,Male
Jonathan Meunier,District,8,1,0,190.5,77.11,,Switch,00:00.0,3.47,50,1.43,69,0.58,33,58,3.47,Male
Henry Briones,Bure,16,8,1,172.72,61.23,175.26,Orthodox,00:00.0,3.47,42,4.68,53,0.0,0,52,3.47,Male
Marcin Wrzosek,The Polish Zombie,12,4,0,175.26,70.31,,,,3.47,43,4.07,43,3.0,25,33,3.47,Male
Kyle Nelson,The Monster,15,5,1,180.34,65.77,180.34,Switch,00:00.0,3.46,44,4.56,52,1.15,20,73,3.46,Male
Francisco Prado,,12,1,0,177.8,70.31,175.26,Orthodox,00:00.0,3.46,50,3.83,46,0.0,0,25,3.46,Male
Edmen Shahbazyan,The Golden Boy,12,4,0,187.96,83.91,190.5,Orthodox,00:00.0,3.46,51,4.13,43,2.17,39,63,3.46,Male
Augusto Montano,Dodger,15,3,0,185.42,77.11,185.42,Orthodox,00:00.0,3.46,46,2.66,56,0.0,0,66,3.46,Male
Piera Rodriguez,La Fiera,9,1,0,160.02,52.16,160.02,Orthodox,00:00.0,3.46,46,2.98,57,3.31,41,66,3.46,Female
Chris Beal,Real Deal,10,5,0,170.18,56.7,175.26,Orthodox,00:00.0,3.45,35,3.18,61,1.6,58,78,3.45,Male
Aaron Riley,,30,14,1,172.72,70.31,175.26,Southpaw,00:00.0,3.45,34,3.78,61,1.18,34,60,3.45,Male
Jose Henrique,Canela,5,1,0,190.5,77.11,200.66,Orthodox,00:00.0,3.45,43,5.79,38,0.0,0,0,3.45,Male
Neil Magny,The Haitian Sensation,28,12,0,190.5,77.11,203.2,Orthodox,00:00.0,3.45,46,2.4,53,2.22,40,55,3.45,Male
Eddie Sanchez,The Manic Hispanic,15,8,0,187.96,104.33,187.96,Orthodox,00:00.0,3.45,43,3.3,43,1.13,26,42,3.45,Male
Jordan Johnson,,10,0,0,187.96,92.99,200.66,Orthodox,00:00.0,3.45,47,2.64,53,3.25,42,100,3.45,Male
Kevin Gray,Pocket Herc,9,4,0,162.56,56.7,170.18,Orthodox,00:00.0,3.45,62,4.48,66,0.0,0,0,3.45,Male
Alejandro Perez,Turbo,23,9,1,167.64,61.23,170.18,Orthodox,00:00.0,3.45,35,3.18,61,0.54,22,70,3.45,Male
Brandon Royval,Raw Dawg,15,6,0,175.26,56.7,172.72,Southpaw,00:00.0,3.45,38,2.63,50,0.66,100,39,3.45,Male
Mike Santiago,,19,12,0,177.8,65.77,175.26,Orthodox,00:00.0,3.44,49,3.58,36,2.66,50,53,3.44,Male
Yoel Romero,Soldier of God,13,5,0,182.88,83.91,185.42,Southpaw,00:00.0,3.44,49,3.05,60,1.57,30,78,3.44,Male
Gilbert Melendez,El Nino,22,8,0,175.26,65.77,185.42,Orthodox,00:00.0,3.44,33,2.53,63,1.64,41,71,3.44,Male
Darren Elkins,The Damage,28,11,0,177.8,65.77,180.34,Orthodox,00:00.0,3.44,38,3.27,52,2.85,35,56,3.44,Male
Guido Cannetti,Ninja,10,8,0,167.64,61.23,172.72,Southpaw,00:00.0,3.44,55,2.84,51,2.27,55,64,3.44,Male
Nik Lentz,The Carny,30,12,2,172.72,65.77,172.72,Orthodox,00:00.0,3.44,47,3.25,50,3.3,32,43,3.44,Male
Bruno Oliveira,,8,2,0,193.04,92.99,203.2,Orthodox,00:00.0,3.44,33,4.92,54,0.0,0,0,3.44,Male
Jake Lindsey,The Librarian,12,7,0,180.34,70.31,,Switch,00:00.0,3.44,52,4.01,46,0.65,33,50,3.44,Male
Vanessa Demopoulos,Lil Monster,10,5,0,157.48,52.16,149.86,Orthodox,00:00.0,3.44,43,5.06,43,0.49,13,30,3.44,Female
Bruna Brasil,,9,3,1,167.64,52.16,165.1,Orthodox,00:00.0,3.44,68,3.94,53,1.86,66,53,3.44,Female
Karen Darabedyan,,13,6,0,170.18,70.31,172.72,Orthodox,00:00.0,3.43,51,2.62,67,2.14,75,0,3.43,Male
Justin Wren,The Viking,13,2,0,187.96,120.2,,Orthodox,00:00.0,3.43,35,2.07,64,0.0,0,100,3.43,Male
George Roop,,15,13,1,185.42,61.23,182.88,Orthodox,00:00.0,3.43,34,2.47,60,1.05,57,59,3.43,Male
Charles Byrd,Kid Dynamite,10,7,0,177.8,83.91,185.42,Orthodox,00:00.0,3.43,55,2.63,55,2.5,50,40,3.43,Male
Demetrious Johnson,Mighty Mouse,27,3,1,160.02,56.7,167.64,Orthodox,00:00.0,3.43,54,1.66,67,3.35,56,65,3.43,Male
Timothy Johnson,,12,4,0,190.5,120.2,195.58,Southpaw,00:00.0,3.43,45,3.08,44,1.09,24,69,3.43,Male
Jimi Manuwa,Poster Boy,17,6,0,185.42,92.99,200.66,Orthodox,00:00.0,3.43,54,3.97,49,0.53,18,70,3.43,Male
Andy Wang,,7,8,1,167.64,70.31,,Orthodox,00:00.0,3.43,36,10.29,62,0.0,0,0,3.43,Male
Jaqueline Amorim,,7,1,0,160.02,52.16,172.72,Orthodox,00:00.0,3.42,52,1.81,62,1.57,23,0,3.42,Female
Herschel Walker,,2,0,0,185.42,97.52,,Orthodox,00:00.0,3.42,67,0.45,46,1.94,100,100,3.42,Male
Marcus McGhee,The Maniac,8,1,0,172.72,61.23,175.26,Orthodox,00:00.0,3.42,48,1.81,77,0.0,0,100,3.42,Male
Don Shainis,Shameless,12,5,0,167.64,65.77,170.18,Orthodox,00:00.0,3.42,50,5.87,31,0.97,25,20,3.42,Male
Bobby Nash,,8,4,0,182.88,77.11,187.96,Orthodox,00:00.0,3.42,37,3.95,51,2.37,33,100,3.42,Male
Jake Hadley,White Kong,10,2,0,170.18,56.7,177.8,Southpaw,00:00.0,3.42,44,3.2,60,0.32,25,35,3.42,Male
Omar Morales,Venezuelan Fighter,11,4,0,180.34,70.31,185.42,Orthodox,00:00.0,3.42,40,3.18,58,0.46,100,63,3.42,Male
Ashley Yoder,SpiderMonkey,8,9,0,170.18,52.16,175.26,Southpaw,00:00.0,3.42,39,4.13,47,1.09,27,66,3.42,Female
Trey Ogden,Samurai Ghost,16,6,0,180.34,70.31,182.88,Orthodox,00:00.0,3.42,41,4.89,54,0.67,14,100,3.42,Male
Justin Salas,J-Bomb,12,7,0,172.72,70.31,177.8,Southpaw,00:00.0,3.42,43,2.96,68,2.43,20,0,3.42,Male
Ryan Spann,Superman,21,9,0,195.58,92.99,200.66,Orthodox,00:00.0,3.42,40,3.91,45,1.29,35,47,3.42,Male
Eduardo Garagorri,,13,2,0,175.26,65.77,177.8,Orthodox,00:00.0,3.42,51,2.36,58,0.48,100,61,3.42,Male
Bobby Moffett,The Wolfman,13,5,0,177.8,65.77,185.42,Orthodox,00:00.0,3.41,39,3.15,61,2.74,66,66,3.41,Male
Ivan Jorge,Batman,27,7,0,175.26,70.31,185.42,Orthodox,00:00.0,3.41,49,2.91,59,1.56,16,75,3.41,Male
Jan Blachowicz,,29,10,1,187.96,92.99,198.12,Orthodox,00:00.0,3.41,50,2.91,53,1.09,50,68,3.41,Male
Elvis Mutapcic,The King,15,6,1,182.88,83.91,182.88,Orthodox,00:00.0,3.41,40,4.27,38,0.0,0,81,3.41,Male
Katsuya Inoue,,19,9,4,175.26,76.2,,Southpaw,00:00.0,3.41,24,12.89,51,0.0,0,66,3.41,Male
Sergey Khandozhko,Honda,28,6,1,185.42,77.11,187.96,Orthodox,00:00.0,3.41,41,2.37,60,0.76,28,61,3.41,Male
Samandar Murodov,,8,0,0,185.42,77.11,190.5,Orthodox,00:00.0,3.41,80,0.8,0,3.01,100,0,3.41,Male
Norma Dumont,The Immortal,10,2,0,170.18,65.77,170.18,Orthodox,00:00.0,3.41,49,1.99,66,1.39,64,72,3.41,Female
Tim Elliott,,20,13,1,170.18,56.7,167.64,Southpaw,00:00.0,3.41,44,2.67,56,3.73,47,59,3.41,Male
Eddy Ellis,Fast,21,16,1,175.26,77.11,,Orthodox,,3.4,69,1.53,68,4.0,66,50,3.4,Male
John Hathaway,The Hitman,17,2,0,185.42,77.11,190.5,Orthodox,00:00.0,3.4,40,1.8,62,2.61,43,60,3.4,Male
Patrick Murphy,,5,3,0,182.88,77.11,,,,3.4,66,0.8,42,0.0,0,50,3.4,Male
Antoni Hardonk,,8,6,0,193.04,111.13,198.12,Orthodox,00:00.0,3.4,61,3.07,46,0.0,0,40,3.4,Male
Eddie Wineland,,24,16,1,170.18,61.23,175.26,Orthodox,00:00.0,3.4,29,3.76,68,0.34,33,86,3.4,Male
Nikolas Motta,Iron,13,5,0,175.26,70.31,177.8,Orthodox,00:00.0,3.4,34,4.71,58,0.0,0,100,3.4,Male
Andrew Martinez,Mickey D,9,6,0,175.26,97.52,,,,3.4,31,2.3,47,1.5,50,0,3.4,Male
Tyler Diamond,,9,1,0,170.18,65.77,175.26,Orthodox,00:00.0,3.4,47,2.53,44,3.0,75,70,3.4,Male
Gleristone Santos,Toninho Furia,33,7,0,175.26,65.77,,,,3.4,31,4.4,64,0.0,0,75,3.4,Male
Yoshihiro Takayama,,1,4,0,195.58,127.01,,Orthodox,00:00.0,3.4,54,5.69,29,0.67,33,55,3.4,Male
Taila Santos,,19,3,0,167.64,56.7,172.72,Orthodox,00:00.0,3.39,48,2.64,58,2.0,76,86,3.39,Female
Mac Danzig,,21,12,1,172.72,70.31,177.8,Orthodox,00:00.0,3.39,48,3.44,57,1.2,37,46,3.39,Male
Linton Vassell,The Swarm,18,5,0,193.04,92.99,,,,3.39,37,2.13,54,2.46,50,50,3.39,Male
Joe Proctor,,11,5,0,177.8,70.31,182.88,Orthodox,00:00.0,3.39,36,3.93,59,0.0,0,70,3.39,Male
Jarjis Danho,Man Mountain,7,1,1,190.5,120.2,187.96,Orthodox,00:00.0,3.38,50,5.25,49,0.51,16,100,3.38,Male
Brad Tavares,,20,9,0,185.42,83.91,187.96,Orthodox,00:00.0,3.38,43,3.03,56,0.81,26,82,3.38,Male
Krzysztof Soszynski,The Polish Experiment,26,12,1,185.42,92.99,195.58,Open Stance,00:00.0,3.37,39,3.13,58,0.52,25,71,3.37,Male
Justin Willis,Big Pretty,8,2,0,185.42,119.75,198.12,Southpaw,00:00.0,3.37,59,2.57,57,0.96,66,36,3.37,Male
Abdul Razak Alhassan,,12,6,0,177.8,83.91,185.42,Orthodox,00:00.0,3.37,48,3.99,55,0.89,38,50,3.37,Male
Drako Rodriguez,,7,3,0,172.72,61.23,175.26,Orthodox,00:00.0,3.37,36,4.4,58,2.93,66,75,3.37,Male
Jorge Gurgel,,14,10,0,170.18,70.31,175.26,Orthodox,00:00.0,3.37,32,3.62,62,0.81,23,60,3.37,Male
Muhammad Naimov,Hillman,10,2,0,175.26,65.77,177.8,Orthodox,00:00.0,3.37,46,4.66,41,1.58,28,57,3.37,Male
TJ Brown,Downtown,17,11,0,175.26,65.77,182.88,Switch,00:00.0,3.37,44,2.89,49,3.41,57,36,3.37,Male
Scott Jorgensen,Young Guns,15,12,0,165.1,61.23,167.64,Orthodox,00:00.0,3.37,40,3.41,65,2.61,45,59,3.37,Male
Marlon Moraes,Magic,23,10,1,167.64,61.23,170.18,Orthodox,00:00.0,3.37,40,4.53,54,0.87,41,46,3.37,Male
Takeya Mizugaki,,21,11,2,170.18,61.23,175.26,Orthodox,00:00.0,3.37,37,3.27,57,1.46,57,70,3.37,Male
Mark Eddiva,,6,3,0,172.72,65.77,172.72,Orthodox,00:00.0,3.37,45,2.98,54,1.45,22,63,3.37,Male
Pablo Garza,The Scarecrow,12,4,0,185.42,65.77,185.42,Orthodox,00:00.0,3.37,44,2.7,50,0.94,25,15,3.37,Male
Karine Silva,Killer,17,4,0,165.1,56.7,170.18,Orthodox,00:00.0,3.37,35,3.37,50,2.45,60,0,3.37,Female
Muslim Salikhov,King of Kung Fu,19,4,0,180.34,77.11,177.8,Orthodox,00:00.0,3.37,51,2.91,62,1.31,40,73,3.37,Male
Joe Soto,One Bad Mofo,18,7,0,167.64,61.23,165.1,Orthodox,00:00.0,3.36,41,5.37,67,0.85,21,70,3.36,Male
Damir Hadzovic,The Bosnian Bomber,14,7,0,175.26,70.31,177.8,Orthodox,00:00.0,3.36,48,3.26,62,0.78,55,34,3.36,Male
Damir Ismagulov,Qazaq,24,3,0,177.8,70.31,187.96,Orthodox,00:00.0,3.36,42,2.44,61,1.0,28,70,3.36,Male
Montel Jackson,Quik,13,2,0,177.8,61.23,190.5,Southpaw,00:00.0,3.36,53,1.41,64,3.42,71,69,3.36,Male
Clint Hester,Headbussa,11,6,0,187.96,92.99,195.58,Orthodox,00:00.0,3.36,42,3.44,56,1.02,35,60,3.36,Male
John Teixeira,Macapa,21,2,2,170.18,65.77,,Orthodox,00:00.0,3.36,35,3.2,63,1.0,27,71,3.36,Male
AJ Fletcher,The Ghost,10,3,0,177.8,77.11,170.18,Switch,00:00.0,3.36,49,4.61,46,1.54,35,33,3.36,Male
Gilbert Burns,Durinho,22,6,0,177.8,77.11,180.34,Orthodox,00:00.0,3.36,48,3.34,54,1.95,35,47,3.36,Male
Irwin Rivera,The Beast,10,6,0,167.64,61.23,170.18,Southpaw,00:00.0,3.36,44,5.07,57,1.0,16,70,3.36,Male
Brian Kelleher,Boom,24,14,0,167.64,61.23,167.64,Switch,00:00.0,3.36,41,4.61,54,1.79,42,60,3.36,Male
Rodolfo Vieira,,9,2,0,182.88,83.91,185.42,Orthodox,00:00.0,3.36,54,4.84,48,3.7,26,100,3.36,Male
Mizuto Hirota,Pugnus,18,10,2,170.18,70.31,170.18,Orthodox,00:00.0,3.36,40,3.5,54,1.36,50,58,3.36,Male
Daniel McWilliams,The Animal,15,37,0,185.42,83.91,,,,3.36,77,0.0,0,0.0,0,100,3.36,Male
Jordan Mein,Young Gun,31,12,0,182.88,77.11,185.42,Orthodox,00:00.0,3.35,44,2.55,69,1.56,58,66,3.35,Male
Justin Ledet,El Blanco,9,4,0,193.04,92.99,203.2,Orthodox,00:00.0,3.35,39,4.82,49,0.23,50,42,3.35,Male
Tagir Ulanbekov,,14,2,0,170.18,56.7,177.8,Southpaw,00:00.0,3.35,44,3.29,54,3.81,42,61,3.35,Male
Chris Cariaso,Kamikaze,17,8,0,160.02,56.7,162.56,Southpaw,00:00.0,3.35,43,2.23,61,1.11,39,57,3.35,Male
Luc Bondole,,5,2,2,187.96,92.99,,,,3.35,51,2.04,62,0.0,0,0,3.35,Male
Cyril Asker,Silverback,9,4,0,182.88,112.04,187.96,Orthodox,00:00.0,3.35,39,5.82,35,4.41,62,100,3.35,Male
Paige VanZant,12 Gauge,8,5,0,162.56,52.16,165.1,Orthodox,00:00.0,3.35,52,2.62,42,1.27,33,34,3.35,Female
Kyung Ho Kang,Mr. Perfect,19,10,0,175.26,61.23,185.42,Orthodox,00:00.0,3.35,48,3.33,55,1.87,57,68,3.35,Male
Veronica Hardy,,7,4,1,162.56,56.7,162.56,Southpaw,00:00.0,3.35,46,4.38,45,1.34,40,55,3.35,Female
Roxanne Modafferi,The Happy Warrior,25,21,0,170.18,56.7,175.26,Orthodox,00:00.0,3.35,30,5.7,51,1.35,23,30,3.35,Female
Hu Yaozong,Totoro,3,3,0,190.5,83.91,182.88,Orthodox,00:00.0,3.35,48,5.09,35,0.0,0,33,3.35,Male
Mike Stumpf,,11,4,0,177.8,77.11,,,,3.34,43,8.85,47,1.59,25,33,3.34,Male
Justin Jaynes,The Guitar Hero,16,8,0,170.18,65.77,172.72,Orthodox,00:00.0,3.34,44,5.33,62,0.75,40,20,3.34,Male
Tom Breese,,12,3,0,190.5,83.91,185.42,Southpaw,00:00.0,3.34,50,2.81,60,0.0,0,70,3.34,Male
Virgil Zwicker,RezDog,15,6,1,187.96,92.99,187.96,,,3.34,48,4.87,39,1.31,30,50,3.34,Male
Arnold Allen,Almighty,19,2,0,172.72,65.77,177.8,Southpaw,00:00.0,3.34,40,2.86,61,1.12,50,76,3.34,Male
Shana Dobson,Danger,4,5,0,167.64,56.7,175.26,Orthodox,00:00.0,3.34,37,5.2,50,0.84,50,14,3.34,Female
Eduardo Dantas,Dudu,20,4,0,177.8,61.23,,,,3.33,60,3.0,60,4.0,23,100,3.33,Male
Alton Cunningham,The Bo-Man,4,2,0,187.96,92.99,195.58,Orthodox,00:00.0,3.33,75,4.94,20,1.67,10,100,3.33,Male
Nad Narimani,Smiler,12,4,0,172.72,65.77,177.8,Orthodox,00:00.0,3.33,42,3.0,58,1.92,41,70,3.33,Male
Cheick Kongo,,27,10,2,193.04,108.86,208.28,Orthodox,00:00.0,3.33,56,1.28,54,2.3,56,52,3.33,Male
Iasmin Lucindo,,15,5,0,160.02,52.16,167.64,Orthodox,00:00.0,3.33,39,3.23,67,2.33,66,66,3.33,Female
Jared Rollins,J-Roc,8,4,0,175.26,77.11,,Orthodox,00:00.0,3.33,57,2.41,39,2.5,50,50,3.33,Male
Roman Bogatov,,10,1,0,172.72,70.31,185.42,Orthodox,00:00.0,3.33,42,4.4,44,1.0,9,50,3.33,Male
Jared Papazian,The Jackhammer,20,13,0,172.72,61.23,170.18,Southpaw,00:00.0,3.33,39,3.81,44,0.0,0,50,3.33,Male
David Avellan,,2,1,0,175.26,83.91,,Orthodox,,3.33,25,10.0,57,0.0,0,0,3.33,Male
Stanislav Nedkov,Stucky,12,2,0,180.34,92.99,180.34,Orthodox,00:00.0,3.33,43,5.39,43,2.77,41,0,3.33,Male
Jan Nortje,The Giant,2,6,0,185.42,140.61,,Southpaw,00:00.0,3.32,51,4.5,32,0.0,0,66,3.32,Male
Alessio Di Chirico,Manzo,13,7,0,182.88,83.91,187.96,Orthodox,00:00.0,3.32,39,3.44,61,1.46,39,83,3.32,Male
Ed Herman,Short Fuse,27,16,0,185.42,92.99,195.58,Orthodox,00:00.0,3.31,48,3.71,42,1.96,47,59,3.31,Male
Laureano Staropoli,Pepi,9,5,0,185.42,83.91,180.34,Orthodox,00:00.0,3.31,34,3.73,54,0.83,26,48,3.31,Male
Claudia Gadelha,Claudinha,18,5,0,162.56,52.16,160.02,Orthodox,00:00.0,3.31,41,4.57,57,3.03,42,58,3.31,Female
Tristan Connelly,Boondock,14,8,0,177.8,65.77,172.72,Orthodox,00:00.0,3.31,51,2.96,50,0.33,14,60,3.31,Male
Hector Sandoval,Kid Alex,14,4,0,157.48,56.7,162.56,Orthodox,00:00.0,3.31,52,2.33,65,3.49,25,71,3.31,Male
Junior Assuncao,,16,6,0,175.26,65.77,182.88,Orthodox,00:00.0,3.31,62,2.06,44,2.43,24,66,3.31,Male
Rosi Sexton,The Surgeon,13,5,0,160.02,61.23,,Orthodox,00:00.0,3.31,39,7.42,41,0.75,10,80,3.31,Female
Juliana Miller,Killer,4,3,0,170.18,56.7,167.64,Orthodox,00:00.0,3.31,45,4.75,32,1.84,44,0,3.31,Female
Brian Foster,The Foster Boy,27,10,0,175.26,77.11,180.34,Orthodox,00:00.0,3.3,39,1.63,65,3.67,60,37,3.3,Male
Andre Fialho,,16,8,0,182.88,77.11,187.96,Orthodox,00:00.0,3.3,41,6.26,45,0.25,100,66,3.3,Male
Oskar Piechota,Imadlo,11,3,1,182.88,83.91,193.04,Southpaw,00:00.0,3.3,52,3.93,51,0.61,40,38,3.3,Male
Naoki Matsushita,,12,16,11,167.64,70.31,,Orthodox,,3.3,32,2.2,63,1.5,100,0,3.3,Male
Gerald Meerschaert,GM3,35,17,0,185.42,83.91,195.58,Southpaw,00:00.0,3.3,44,3.5,53,2.01,37,34,3.3,Male
